sfa_name,sfa_id,fips,county,state_name,zip,fts,fts_int,ffvp,cvendor,cpurch,ckitch,totalstudents,totalschools,poverty_status,latitude,longitude
Black Hawk School District,332240,55065,Lafayette County,Wisconsin,53587,0,0,0,1,1,1,385,3,2,42.56,-89.88
"Lutheran Social Services Wi And Up, Inc.",589129,55115,Shawano County,Wisconsin,54499,1,1.5,0,1,1,1,28,1,4,44.82,-89.17
Baldwin-Woodville School District,550231,55109,St. Croix County,Wisconsin,54002,1,1.1194444444444445,0,1,1,1,1799,3,1,44.96,-92.37
Edgar School District,371561,55073,Marathon County,Wisconsin,54426,1,1.5284176544637416,0,1,1,1,599,3,1,44.92,-89.96
Hillsboro School District,622541,55123,Vernon County,Wisconsin,54634,1,2.059565217391304,0,2,3,3,558,2,2,43.65,-90.33
Prentice School District,504571,55099,Price County,Wisconsin,54556,1,9.52,0,1,1,1,342,2,2,45.54,-90.28
Howard-Suamico School District,52604,55009,Brown County,Wisconsin,54313,1,11.626748516283058,0,1,1,1,5737,8,1,44.59,-88.12
Lake Country School District,673862,55133,Waukesha County,Wisconsin,53029,1,1,1,1,1,1,500,1,1,43.09,-88.34
Coleman School District,381169,55075,Marinette County,Wisconsin,54112,1,3.3333333333333335,0,1,1,1,726,3,2,45.07,-88.03
Markesan School District,243325,55047,Green Lake County,Wisconsin,53946,1,2.5,0,2,1,1,791,4,2,43.7,-88.98
Goodman-Armstrong Creek School,382212,55075,Marinette County,Wisconsin,54125,1,2.5,0,2,1,1,120,2,2,45.63,-88.34
Rosendale-Brandon School District,204956,55039,Fond du Lac County,Wisconsin,54974,0,0,1,1,1,1,1059,6,1,43.8,-88.67
Hudson School District,552611,55109,St. Croix County,Wisconsin,54016,0,0,0,1,1,1,5324,8,1,44.97,-92.73
